,Gender,Customer Type,Type of Travel,Class,satisfaction,Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes
0,0,0,0,0,0,13,460,5,4,5,25
1,0,1,1,1,0,25,235,1,3,1,1
2,1,0,1,1,1,26,1142,5,4,5,0
3,1,0,1,1,0,25,562,2,3,2,11
4,0,0,1,1,1,61,214,3,4,3,0
5,1,0,0,2,0,26,1180,1,4,1,0
6,0,0,0,2,0,47,1276,2,4,2,9
7,1,0,1,1,1,52,2035,5,5,4,4
8,1,0,1,1,0,41,853,1,1,2,0
9,0,1,1,2,0,20,1061,2,4,2,0
10,1,1,1,2,0,24,1182,2,5,2,0
11,1,0,0,0,0,12,308,1,5,1,0
12,0,0,1,2,0,53,834,1,3,1,28
13,0,0,0,2,1,33,946,4,2,4,0
14,1,0,0,2,0,26,453,2,2,2,43
15,0,1,1,2,0,13,486,4,4,4,1
16,1,0,1,1,1,26,2123,4,4,4,49
17,0,0,1,1,1,41,2075,5,5,5,0
18,1,0,1,1,1,45,2486,5,5,4,7
19,0,0,0,2,0,38,460,5,4,5,17
20,0,0,1,2,0,9,1174,2,3,2,0
21,1,0,0,2,0,17,208,5,3,5,0
22,1,0,0,2,0,43,752,3,5,4,52
23,1,0,0,2,0,58,2139,4,4,2,0
24,1,1,1,2,1,23,452,1,5,1,54
25,0,0,0,2,0,57,719,5,4,5,27
26,1,0,1,1,1,33,1561,4,3,2,0
27,1,0,1,0,1,49,315,4,4,2,0
28,1,0,1,1,0,36,3347,3,3,2,18
29,0,0,0,2,0,22,2342,3,3,3,19
30,1,0,1,1,1,31,819,5,3,5,0
31,1,1,1,2,0,15,1043,5,4,5,3
32,1,0,1,1,1,35,2611,3,5,4,109
33,1,0,0,2,0,67,1192,5,3,5,18
34,0,1,1,1,0,37,1182,1,3,1,9
35,1,0,1,2,0,40,349,1,3,1,0
36,1,1,1,1,0,34,883,5,5,5,0
37,0,0,0,0,0,40,550,2,4,2,23
38,1,0,0,2,1,47,302,4,4,4,23
39,0,1,1,1,0,41,354,1,4,1,0
40,0,0,1,1,1,39,1734,4,4,3,0
41,1,1,1,1,0,25,1452,3,5,3,9
42,0,0,1,1,1,41,296,4,4,3,0
43,1,0,1,1,1,38,2882,5,5,4,0
44,1,0,1,1,1,50,460,3,3,5,1
45,0,0,1,1,1,29,529,5,5,5,4
46,1,0,0,1,0,22,349,4,4,4,0
47,1,0,1,1,0,13,1522,1,3,1,0
48,0,0,1,1,1,54,612,5,5,3,8
49,0,0,0,2,0,21,1454,5,3,5,0
50,0,0,1,2,0,28,731,2,2,2,14
51,0,0,1,1,1,27,2076,4,4,4,0
52,1,0,1,2,1,69,309,5,5,2,0
53,0,0,0,2,0,35,775,4,3,4,1
54,1,0,0,2,0,60,861,4,4,4,10
55,1,0,1,1,1,45,3334,4,4,5,51
56,1,0,1,1,1,57,2496,5,5,5,0
57,0,0,1,1,1,40,602,5,5,4,0
58,1,1,1,1,0,38,308,4,4,4,39
59,0,1,1,2,0,23,446,4,4,4,4
60,0,1,1,1,0,39,216,3,4,3,0
61,1,0,1,1,1,52,3475,4,4,3,0
62,0,1,1,2,0,25,646,4,3,4,13
63,1,0,1,1,1,48,2501,5,5,4,0
64,1,0,1,1,1,59,2227,4,4,4,30
65,0,0,1,1,1,25,1426,4,4,4,4
66,0,0,0,2,0,38,190,4,4,4,0
67,0,0,1,1,1,46,1532,5,5,4,0
68,0,0,1,2,0,50,308,2,2,2,18
69,1,0,1,0,1,38,157,4,1,4,0
70,1,0,1,1,1,53,1506,5,5,5,0
71,0,0,1,0,0,30,205,3,1,3,64
72,0,1,1,1,0,39,895,5,4,5,0
73,0,0,0,0,0,66,516,2,5,2,0
74,0,0,0,2,0,45,909,1,5,1,0
75,1,1,1,1,1,25,1435,1,5,1,1
76,0,0,1,1,0,52,1190,2,2,4,0
77,0,0,0,2,1,64,1259,2,3,2,20
78,1,1,1,2,0,50,216,4,1,4,0
79,1,1,1,1,0,41,1670,3,3,3,0
80,0,0,1,1,1,26,3960,4,5,4,45
81,1,1,1,2,0,25,817,3,2,3,0
82,1,1,1,1,0,44,1670,5,4,5,0
83,1,1,1,1,1,21,861,1,4,1,0
84,0,0,1,1,1,47,406,4,4,4,44
85,0,0,1,0,1,31,404,4,2,4,17
86,1,0,0,0,0,57,500,5,5,5,0
87,0,0,0,2,0,44,689,5,5,5,0
88,0,0,1,1,1,45,3100,4,4,1,0
89,0,1,1,2,0,13,525,3,3,3,0
90,0,0,0,2,1,60,931,4,5,4,0
91,1,1,1,1,1,41,304,2,4,2,31
92,0,0,1,1,0,30,1896,4,3,4,81
93,1,0,1,0,1,51,261,5,5,1,0
94,1,0,1,2,1,61,347,3,3,4,0
95,1,0,1,2,1,32,1042,4,1,4,35
96,1,0,0,2,0,39,1773,5,3,5,14
97,0,0,0,1,0,19,342,3,3,3,0
98,1,0,0,0,0,15,297,5,1,5,67
99,1,1,1,1,1,42,883,3,4,3,22
100,1,0,0,2,0,16,332,3,5,3,40
101,0,0,1,1,1,19,2388,4,1,4,0
102,1,0,0,2,0,29,748,5,4,5,0
103,1,1,1,0,0,27,1080,3,3,3,0
104,0,1,1,1,1,22,231,5,4,5,0
105,1,0,0,2,0,15,551,4,4,4,3
106,0,1,1,2,0,11,972,1,4,1,0
107,1,0,0,2,0,34,265,5,2,5,0
108,1,1,1,2,0,26,488,1,5,1,0
109,1,0,0,2,0,26,1144,4,5,4,0
110,0,0,1,1,1,53,2332,4,4,3,0
111,0,0,1,1,0,36,3024,4,4,1,30
112,0,0,1,1,0,32,1750,1,2,1,0
113,0,0,0,2,0,20,483,5,3,5,91
114,1,0,1,1,1,35,2128,4,4,4,0
115,0,0,0,2,0,15,235,1,4,1,1
116,0,0,0,2,0,52,689,3,2,3,0
117,0,0,1,1,1,45,1852,2,2,5,0
118,1,1,1,2,0,24,372,3,4,3,21
119,1,0,1,1,0,46,3705,4,4,4,4
120,0,1,1,2,0,26,416,1,2,1,0
121,0,0,1,2,0,28,337,4,2,4,3
122,0,0,0,2,0,11,335,3,4,3,0
123,0,0,1,1,1,45,1400,4,4,5,4
124,0,0,0,2,0,62,2521,5,4,1,7
125,1,0,1,1,1,34,374,4,4,3,0
126,0,0,1,1,1,51,308,4,4,5,17
127,1,0,1,0,0,58,575,2,2,4,14
128,0,0,0,2,0,22,618,3,4,3,0
129,0,0,1,2,1,8,1304,4,4,4,0
130,0,1,1,1,1,26,351,2,4,2,4
131,1,0,0,2,0,22,549,3,5,3,15
132,1,0,1,1,0,21,3510,3,3,3,0
133,0,0,1,1,0,31,1620,3,2,3,0
134,1,0,0,2,0,44,326,1,1,5,0
135,0,0,1,1,1,27,588,5,5,5,0
136,1,0,1,1,1,47,1020,5,5,5,0
137,0,0,1,1,0,24,2903,3,2,3,0
138,0,0,1,1,0,67,2659,1,1,1,0
139,0,0,1,1,1,32,3037,4,1,4,0
140,1,0,0,2,1,58,2475,3,4,1,29
141,0,0,0,2,0,12,978,1,4,1,0
142,1,0,1,1,0,56,2568,3,3,4,0
143,1,0,0,1,0,58,371,1,1,3,0
144,0,1,1,2,0,24,791,5,3,5,39
145,0,0,0,2,0,68,480,5,3,5,7
146,0,0,1,1,1,46,1786,5,5,3,1
147,0,0,1,1,1,43,1849,3,3,4,0
148,1,0,1,1,1,55,3634,4,1,3,0
